customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5230-PXXBM,Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,89.17,5987.92,No
9349-CLNQN,Female,1,No,No,24,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,85.63,2047.99,No
9638-TGEVY,Male,0,No,No,60,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),22.38,1337.33,No
1686-VEOPT,Male,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,55.45,1414.37,Yes
3895-FFSNP,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,71.08,2375.38,Yes
3776-ZGXUY,Female,1,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),59.92,310.71,Yes
4294-BZFIQ,Male,0,Yes,Yes,39,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),36.38,1337.07,No
4433-SFOLH,Male,0,Yes,No,6,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,84.82,521.42,No
6646-VSRWD,Male,0,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),117.78,3387.42,No
3776-XZSEI,Female,0,Yes,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),52.41,3338.91,No
8052-HLSEU,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),114.97,3346.29,No
8008-IZACM,Male,0,Yes,No,67,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,94.4,6338.58,No
6122-TJFCJ,Male,0,No,No,57,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),51.15,2906.8,No
9821-JEUNH,Male,0,No,Yes,54,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),60.39,3257.08,Yes
4682-VEAEC,Female,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),81.33,1016.04,No
6042-KREXJ,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,93.53,3356.23,Yes
1543-QBAVN,Female,0,Yes,Yes,43,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),93.44,4057.69,Yes
6669-GDZIX,Female,0,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,82.75,372.2,No
7960-RUUNO,Female,1,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.36,729.93,No
2503-NZSRB,Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,104.27,1323.62,No
2298-XSYBN,Female,1,Yes,No,7,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),44.99,298.95,No
7945-YTXMP,Male,0,Yes,No,23,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,35.7,753.38,Yes
2201-ZMHFL,Female,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.43,1507.48,No
9073-URPES,Female,1,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,22.08,1070.94,No
3204-LAWDQ,Female,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.31,5666.7,Yes
7819-VKTLD,Female,0,No,No,25,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,23.24,566.39,Yes
7972-WOKBC,Female,0,No,No,9,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),22.22,199.26,No
8846-USBCR,Female,0,No,Yes,57,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,18.16,1064.07,No
2611-OJJUB,Female,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,18.48,218.32,Yes
5882-PFROC,Female,0,No,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.68,6210.31,No
4589-GNISF,Male,0,Yes,Yes,70,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),68.03,4737.79,No
5630-DCJYC,Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,85.9,3292.13,No
3818-GWIXV,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,41.41,1228.29,Yes
8252-YVGGT,Female,0,No,No,49,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),90.67,4413.47,Yes
2661-YIRFT,Female,0,Yes,Yes,15,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,49.47,710.27,Yes
3844-AFKIZ,Male,0,No,Yes,71,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),68.21,4915.84,No
4208-DCAQB,Female,1,Yes,No,50,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,105.11,5285.15,No
7972-LJWHO,Male,0,No,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24.54,345.32,No
4862-ERCVT,Male,1,Yes,Yes,37,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),104.38,3869.03,Yes
9992-APCKK,Male,0,Yes,No,70,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),51.48,3632.23,No
6837-CPNPT,Male,0,No,Yes,71,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,42.81,2926.83,No
8571-LKAFK,Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,103.73,2013.66,No
3339-LPGNB,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,88.2,1299.98,No
5678-HFUEK,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),47.9,3158.0,No
5735-XCVIE,Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),88.38,5598.69,Yes
3878-FKNIS,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,109.25,1367.25,Yes
